amfi_code,scheme_name,fund_house,sharpe_ratio,std_dev_ann_pct,return_3yr_pct
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,7.68,0.5,7.68
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,6.18,0.5,6.18
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,5.14,0.5,5.14
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,1.84,4.0,7.37
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,1.52,4.0,6.07
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,1.33,4.0,5.31
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,1.06,14.0,14.81
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,1.06,14.0,14.84
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,1.03,14.0,14.41
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,1.0,14.0,14.0
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,0.98,15.0,14.76
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,0.98,14.0,13.78
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,0.98,16.0,15.65
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,0.96,14.0,13.38
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,0.96,16.0,15.34
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,0.96,19.0,18.23
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,0.95,19.0,18.08
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,0.94,25.0,23.39
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,0.93,13.0,12.1
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,0.93,25.0,23.14
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,0.92,14.0,12.82
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,0.91,16.0,14.56
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,0.91,13.0,11.77
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,0.9,19.0,17.16
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,0.9,25.0,22.38
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,0.88,14.0,12.33
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,0.88,14.0,12.36
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,0.87,19.0,16.58
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,0.87,14.0,12.25
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,0.87,14.0,12.14
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,0.85,14.0,11.84
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,0.84,25.0,20.98
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,0.82,14.0,11.54
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,0.82,19.0,15.61
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,0.81,14.0,11.3
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,0.81,25.0,20.15
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,0.8,19.0,15.29
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,0.8,19.0,15.18
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,0.8,17.0,13.58
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,0.8,25.0,20.08
